channel,pGeV,N_beam,mask,trig2,eff_pct,eff_CI95_low,eff_CI95_high,bg_at_1M
π⁻ beam,0.98,869012,tight,76,99.9913,99.9911,99.9914,87
π⁻ beam,0.98,869012,fit,13,99.9985,99.9984,99.9986,15
π⁻ beam,0.98,869012,wide,13,99.9985,99.9984,99.9986,15
π⁻ beam,0.98,869012,ultra,13,99.9985,99.9984,99.9986,15
π⁻ beam,1.02,864891,tight,75,99.9913,99.9912,99.9914,87
π⁻ beam,1.02,864891,fit,57,99.9934,99.9933,99.9935,66
π⁻ beam,1.02,864891,wide,57,99.9934,99.9933,99.9935,66
π⁻ beam,1.02,864891,ultra,57,99.9934,99.9933,99.9935,66
π⁻ beam,1.05,863179,tight,111,99.9871,99.987,99.9873,129
π⁻ beam,1.05,863179,fit,90,99.9896,99.9894,99.9897,104
π⁻ beam,1.05,863179,wide,90,99.9896,99.9894,99.9897,104
π⁻ beam,1.05,863179,ultra,90,99.9896,99.9894,99.9897,104
π⁻ beam,1.1,866307,tight,125,99.9856,99.9854,99.9857,144
π⁻ beam,1.1,866307,fit,52,99.994,99.9939,99.9941,60
π⁻ beam,1.1,866307,wide,21,99.9976,99.9975,99.9976,24
π⁻ beam,1.1,866307,ultra,21,99.9976,99.9975,99.9976,24
π⁻ beam,1.15,866191,tight,78,99.991,99.9909,99.9911,90
π⁻ beam,1.15,866191,fit,78,99.991,99.9909,99.9911,90
π⁻ beam,1.15,866191,wide,78,99.991,99.9909,99.9911,90
π⁻ beam,1.15,866191,ultra,78,99.991,99.9909,99.9911,90
π⁺ beam,0.98,868879,tight,72,99.9917,99.9916,99.9918,83
π⁺ beam,0.98,868879,fit,55,99.9937,99.9935,99.9938,63
π⁺ beam,0.98,868879,wide,55,99.9937,99.9935,99.9938,63
π⁺ beam,0.98,868879,ultra,55,99.9937,99.9935,99.9938,63
π⁺ beam,1.02,864368,tight,101,99.9883,99.9882,99.9884,117
π⁺ beam,1.02,864368,fit,60,99.9931,99.9929,99.9932,69
π⁺ beam,1.02,864368,wide,60,99.9931,99.9929,99.9932,69
π⁺ beam,1.02,864368,ultra,60,99.9931,99.9929,99.9932,69
π⁺ beam,1.05,866461,tight,153,99.9823,99.9822,99.9825,177
π⁺ beam,1.05,866461,fit,86,99.9901,99.9899,99.9902,99
π⁺ beam,1.05,866461,wide,86,99.9901,99.9899,99.9902,99
π⁺ beam,1.05,866461,ultra,86,99.9901,99.9899,99.9902,99
π⁺ beam,1.1,866806,tight,170,99.9804,99.9802,99.9805,196
π⁺ beam,1.1,866806,fit,75,99.9913,99.9912,99.9914,87
π⁺ beam,1.1,866806,wide,75,99.9913,99.9912,99.9914,87
π⁺ beam,1.1,866806,ultra,75,99.9913,99.9912,99.9914,87
π⁺ beam,1.15,864974,tight,148,99.9829,99.9827,99.983,171
π⁺ beam,1.15,864974,fit,67,99.9923,99.9921,99.9924,77
π⁺ beam,1.15,864974,wide,67,99.9923,99.9921,99.9924,77
π⁺ beam,1.15,864974,ultra,67,99.9923,99.9921,99.9924,77
