channel,pGeV,N_beam,mask,veto,ovk_pct,ovk_CI95_low,ovk_CI95_high
π⁻p → π⁻π⁰p,0.98,865372,tight,13224,1.52813,1.52726,1.52903
π⁻p → π⁻π⁰p,0.98,865372,fit,20507,2.36973,2.36867,2.37083
π⁻p → π⁻π⁰p,0.98,865372,wide,27117,3.13357,3.13235,3.13482
π⁻p → π⁻π⁰p,0.98,865372,ultra,31169,3.6018,3.60051,3.60314
π⁻p → π⁻π⁰p,1.02,865843,tight,7168,0.827864,0.827214,0.828551
π⁻p → π⁻π⁰p,1.02,865843,fit,11015,1.27217,1.27138,1.273
π⁻p → π⁻π⁰p,1.02,865843,wide,15030,1.73588,1.73496,1.73684
π⁻p → π⁻π⁰p,1.02,865843,ultra,18496,2.13618,2.13517,2.13723
π⁻p → π⁻π⁰p,1.05,866074,tight,13588,1.56892,1.56804,1.56983
π⁻p → π⁻π⁰p,1.05,866074,fit,20476,2.36423,2.36317,2.36533
π⁻p → π⁻π⁰p,1.05,866074,wide,27298,3.15192,3.15071,3.15318
π⁻p → π⁻π⁰p,1.05,866074,ultra,31442,3.63041,3.62911,3.63174
π⁻p → π⁻π⁰p,1.1,865839,tight,14302,1.65181,1.65091,1.65274
π⁻p → π⁻π⁰p,1.1,865839,fit,21351,2.46593,2.46485,2.46705
π⁻p → π⁻π⁰p,1.1,865839,wide,27955,3.22866,3.22743,3.22993
π⁻p → π⁻π⁰p,1.1,865839,ultra,32198,3.71871,3.71739,3.72006
π⁻p → π⁻π⁰p,1.15,864658,tight,14393,1.66459,1.66369,1.66553
π⁻p → π⁻π⁰p,1.15,864658,fit,21251,2.45773,2.45665,2.45886
π⁻p → π⁻π⁰p,1.15,864658,wide,28505,3.29668,3.29544,3.29796
π⁻p → π⁻π⁰p,1.15,864658,ultra,32654,3.77652,3.7752,3.77788
π⁺p → π⁺π⁰p,0.98,867711,tight,7335,0.845328,0.844673,0.846021
π⁺p → π⁺π⁰p,0.98,867711,fit,10516,1.21192,1.21115,1.21274
π⁺p → π⁺π⁰p,0.98,867711,wide,14182,1.63442,1.63352,1.63535
π⁺p → π⁺π⁰p,0.98,867711,ultra,16296,1.87804,1.87709,1.87903
π⁺p → π⁺π⁰p,1.02,866499,tight,7519,0.867745,0.867081,0.868446
π⁺p → π⁺π⁰p,1.02,866499,fit,10840,1.25101,1.25022,1.25184
π⁺p → π⁺π⁰p,1.02,866499,wide,14593,1.68413,1.68323,1.68508
π⁺p → π⁺π⁰p,1.02,866499,ultra,16767,1.93503,1.93406,1.93603
π⁺p → π⁺π⁰p,1.05,866798,tight,7927,0.914515,0.913835,0.915233
π⁺p → π⁺π⁰p,1.05,866798,fit,11321,1.30607,1.30527,1.30691
π⁺p → π⁺π⁰p,1.05,866798,wide,15065,1.73801,1.73709,1.73896
π⁺p → π⁺π⁰p,1.05,866798,ultra,17357,2.00243,2.00144,2.00345
π⁺p → π⁺π⁰p,1.1,867704,tight,8368,0.964384,0.963688,0.965119
π⁺p → π⁺π⁰p,1.1,867704,fit,11771,1.35657,1.35575,1.35742
π⁺p → π⁺π⁰p,1.1,867704,wide,15523,1.78897,1.78804,1.78994
π⁺p → π⁺π⁰p,1.1,867704,ultra,17870,2.05946,2.05846,2.06049
π⁺p → π⁺π⁰p,1.15,865450,tight,8808,1.01774,1.01702,1.01849
π⁺p → π⁺π⁰p,1.15,865450,fit,12033,1.39037,1.38955,1.39124
π⁺p → π⁺π⁰p,1.15,865450,wide,16018,1.85083,1.84988,1.85181
π⁺p → π⁺π⁰p,1.15,865450,ultra,18615,2.1509,2.14989,2.15196
π⁻p → π⁻π⁺n,0.98,865535,tight,7150,0.826079,0.82543,0.826766
π⁻p → π⁻π⁺n,0.98,865535,fit,11224,1.29677,1.29597,1.29761
π⁻p → π⁻π⁺n,0.98,865535,wide,14882,1.7194,1.71848,1.72035
π⁻p → π⁻π⁺n,0.98,865535,ultra,18346,2.11961,2.1186,2.12066
π⁻p → π⁻π⁺n,1.02,865396,tight,13340,1.54149,1.54062,1.5424
π⁻p → π⁻π⁺n,1.02,865396,fit,20225,2.33708,2.33602,2.33818
π⁻p → π⁻π⁺n,1.02,865396,wide,27080,3.1292,3.12799,3.13045
π⁻p → π⁻π⁺n,1.02,865396,ultra,31324,3.61961,3.61832,3.62095
π⁻p → π⁻π⁺n,1.05,866032,tight,7270,0.839461,0.838807,0.840153
