BH2,BVH_U,BVH_D
1,0,3
1,0,4
1,0,5
1,0,7
1,0,10
1,0,25
2,0,9
2,0,10
2,0,11
2,0,12
2,0,13
2,0,14
2,0,15
2,0,16
2,0,17
2,0,18
2,0,19
2,0,20
2,0,21
2,0,22
2,0,23
2,0,24
2,0,26
2,0,28
2,0,29
2,0,30
2,0,31
2,0,33
2,1,5
2,1,6
2,1,7
2,1,8
2,1,9
2,1,10
2,1,11
2,1,12
2,1,13
2,1,18
2,1,21
2,1,23
2,1,24
2,1,25
2,1,28
2,1,30
2,1,33
2,1,34
2,1,36
2,2,1
2,2,3
2,2,4
2,2,5
3,0,13
3,0,14
3,0,15
3,0,16
3,0,17
3,0,18
3,0,19
3,0,20
3,0,21
3,0,22
3,0,23
3,0,24
3,0,25
3,0,26
3,0,27
3,0,28
3,0,29
3,0,30
3,0,31
3,0,32
3,0,33
3,0,34
3,0,35
3,0,36
3,0,37
3,0,38
3,0,39
3,0,40
3,0,41
3,0,42
3,0,43
3,0,44
3,0,45
3,0,47
3,0,48
3,0,53
3,1,9
3,1,10
3,1,11
3,1,12
3,1,13
3,1,14
3,1,15
3,1,16
3,1,17
3,1,18
3,1,19
3,1,20
3,1,21
3,1,22
3,1,23
3,1,24
3,1,25
3,1,26
3,1,27
3,1,28
3,1,29
3,1,30
3,1,31
3,1,32
3,1,33
3,1,34
3,1,35
3,1,36
3,1,37
3,1,38
3,1,39
3,1,43
3,1,44
3,1,46
3,1,47
3,2,6
3,2,8
3,2,9
3,2,10
3,2,11
3,2,12
3,2,13
3,2,14
3,2,15
3,2,16
3,2,17
3,2,18
3,2,19
3,2,20
3,2,21
3,2,22
3,2,23
3,2,24
3,2,25
3,2,26
3,2,27
3,2,28
3,2,29
3,2,35
3,2,37
3,3,6
3,3,8
3,3,9
3,3,10
3,3,11
3,3,12
3,3,14
3,4,1
3,4,7
3,4,8
4,0,19
4,0,20
4,0,21
4,0,22
4,0,23
4,0,24
4,0,25
4,0,26
4,0,27
4,0,30
4,0,31
4,0,32
4,0,34
4,0,45
4,0,50
4,0,51
4,1,12
4,1,14
4,1,15
4,1,16
4,1,17
4,1,18
4,1,19
4,1,20
4,1,21
4,1,22
4,1,23
4,1,24
4,1,25
4,1,26
4,1,27
4,1,28
4,1,29
4,1,30
4,1,31
4,1,32
4,1,33
4,1,34
4,1,35
4,1,36
4,1,37
4,1,38
4,1,39
4,1,40
4,1,41
4,1,42
4,1,43
4,1,44
4,1,45
4,1,46
4,1,47
4,1,48
4,1,49
4,1,50
4,1,51
4,1,52
4,2,11
4,2,12
4,2,13
4,2,14
4,2,15
4,2,16
4,2,17
4,2,18
4,2,19
4,2,20
4,2,21
4,2,22
4,2,23
4,2,24
4,2,25
4,2,26
4,2,27
4,2,28
4,2,29
4,2,30
4,2,31
4,2,32
4,2,33
4,2,34
4,2,35
4,2,36
4,2,37
4,2,38
4,2,39
4,2,40
4,2,41
4,2,42
4,2,43
4,2,44
4,2,45
4,2,46
4,2,47
4,2,48
4,2,50
4,2,51
4,2,52
4,3,9
4,3,10
4,3,11
4,3,12
4,3,13
4,3,14
4,3,15
4,3,16
4,3,17
4,3,18
4,3,19
4,3,20
4,3,21
4,3,22
4,3,23
4,3,24
4,3,25
4,3,26
4,3,27
4,3,28
4,3,29
4,3,30
4,3,31
4,3,32
4,3,33
4,3,37
4,3,38
4,3,39
4,3,40
4,3,41
4,3,43
4,3,45
4,4,10
4,4,11
4,4,12
4,4,13
4,4,14
4,4,15
4,4,17
4,4,18
4,4,19
4,4,20
4,4,22
4,4,23
4,4,24
4,4,25
4,4,26
4,4,28
4,4,29
4,4,30
4,4,31
4,4,34
4,4,38
4,5,7
4,5,10
5,0,42
5,1,24
5,1,25
5,1,26
5,1,29
5,1,30
5,1,31
5,1,32
5,1,34
5,1,35
5,1,36
5,1,37
5,1,41
5,1,42
5,1,44
