# Overlay Triplets exported by BVH_3D_ver4.C
# Format: {BH2, BVH_U, BVH_D}
# Rule: mask+dilation, EX excluded
{0, 0, 7}
{0, 0, 8}
{0, 0, 9}
{0, 0, 10}
{0, 0, 11}
{0, 0, 12}
{0, 0, 13}
{0, 1, 7}
{0, 1, 8}
{0, 1, 9}
{0, 1, 10}
{0, 1, 11}
{0, 1, 12}
{0, 1, 13}
{1, 0, 9}
{1, 0, 10}
{1, 0, 11}
{1, 0, 12}
{1, 0, 13}
{1, 0, 14}
{1, 0, 15}
{1, 0, 16}
{1, 0, 17}
{1, 0, 18}
{1, 0, 19}
{1, 0, 20}
{1, 0, 21}
{1, 0, 22}
{1, 0, 23}
{1, 0, 24}
{1, 0, 25}
{1, 1, 5}
{1, 1, 6}
{1, 1, 7}
{1, 1, 8}
{1, 1, 9}
{1, 1, 10}
{1, 1, 11}
{1, 1, 12}
{1, 1, 13}
{1, 1, 14}
{1, 1, 15}
{1, 1, 16}
{1, 1, 17}
{1, 1, 18}
{1, 1, 19}
{1, 1, 20}
{1, 1, 21}
{1, 1, 22}
{1, 1, 23}
{1, 1, 24}
{1, 1, 25}
{1, 2, 5}
{1, 2, 6}
{1, 2, 7}
{1, 2, 8}
{1, 2, 9}
{1, 2, 10}
{1, 2, 11}
{1, 2, 12}
{1, 2, 13}
{1, 2, 14}
{1, 2, 15}
{1, 2, 16}
{1, 2, 17}
{1, 2, 18}
{1, 2, 19}
{1, 3, 5}
{1, 3, 6}
{1, 3, 7}
{1, 3, 8}
{1, 3, 9}
{1, 3, 10}
{1, 3, 11}
{1, 3, 12}
{1, 3, 13}
{1, 3, 14}
{1, 3, 15}
{1, 3, 16}
{2, 0, 13}
{2, 0, 14}
{2, 0, 15}
{2, 0, 16}
{2, 0, 17}
{2, 0, 18}
{2, 0, 19}
{2, 0, 20}
{2, 0, 21}
{2, 0, 22}
{2, 0, 23}
{2, 0, 24}
{2, 0, 25}
{2, 0, 26}
{2, 0, 27}
{2, 0, 28}
{2, 0, 29}
{2, 0, 30}
{2, 0, 31}
{2, 0, 32}
{2, 0, 33}
{2, 0, 34}
{2, 0, 35}
{2, 0, 36}
{2, 0, 37}
{2, 0, 38}
{2, 0, 39}
{2, 1, 10}
{2, 1, 11}
{2, 1, 12}
{2, 1, 13}
{2, 1, 14}
{2, 1, 15}
{2, 1, 16}
{2, 1, 17}
{2, 1, 18}
{2, 1, 19}
{2, 1, 20}
{2, 1, 21}
{2, 1, 22}
{2, 1, 23}
{2, 1, 24}
{2, 1, 25}
{2, 1, 26}
{2, 1, 27}
{2, 1, 28}
{2, 1, 29}
{2, 1, 30}
{2, 1, 31}
{2, 1, 32}
{2, 1, 33}
{2, 1, 34}
{2, 1, 35}
{2, 1, 36}
{2, 1, 37}
{2, 1, 38}
{2, 1, 39}
{2, 2, 8}
{2, 2, 9}
{2, 2, 10}
{2, 2, 11}
{2, 2, 12}
{2, 2, 13}
{2, 2, 14}
{2, 2, 15}
{2, 2, 16}
{2, 2, 17}
{2, 2, 18}
{2, 2, 19}
{2, 2, 20}
{2, 2, 21}
{2, 2, 22}
{2, 2, 23}
{2, 2, 24}
{2, 2, 25}
{2, 2, 26}
{2, 2, 27}
{2, 2, 28}
{2, 2, 29}
{2, 2, 30}
{2, 2, 31}
{2, 2, 32}
{2, 3, 7}
{2, 3, 8}
{2, 3, 9}
{2, 3, 10}
{2, 3, 11}
{2, 3, 12}
{2, 3, 13}
{2, 3, 14}
{2, 3, 15}
{2, 3, 16}
