# Overlay Triplets exported by BVH_3D_ver4.C
# Format: {BH2, BVH_U, BVH_D}
# Rule: mask+dilation, EX excluded
{0, 0, 14}
{0, 0, 15}
{0, 0, 16}
{0, 0, 17}
{0, 0, 18}
{0, 0, 19}
{0, 0, 20}
{0, 0, 21}
{0, 0, 22}
{0, 0, 23}
{0, 0, 24}
{0, 0, 25}
{0, 0, 26}
{0, 0, 27}
{0, 1, 12}
{0, 1, 13}
{0, 1, 14}
{0, 1, 15}
{0, 1, 16}
{0, 1, 17}
{0, 1, 18}
{0, 1, 19}
{0, 1, 20}
{0, 1, 21}
{0, 1, 22}
{0, 1, 23}
{0, 1, 24}
{0, 1, 25}
{0, 1, 26}
{0, 1, 27}
{0, 2, 7}
{0, 2, 8}
{0, 2, 9}
{0, 2, 10}
{0, 2, 11}
{0, 2, 12}
{0, 2, 13}
{0, 2, 14}
{0, 2, 15}
{0, 2, 16}
{0, 2, 17}
{0, 2, 18}
{0, 2, 19}
{0, 2, 20}
{0, 2, 21}
{0, 2, 22}
{0, 2, 23}
{0, 2, 24}
{0, 2, 25}
{0, 2, 26}
{0, 2, 27}
{0, 3, 1}
{0, 3, 2}
{0, 3, 3}
{0, 3, 5}
{0, 3, 6}
{0, 3, 7}
{0, 3, 8}
{0, 3, 9}
{0, 3, 10}
{0, 3, 11}
{0, 3, 12}
{0, 3, 13}
{0, 3, 14}
{0, 3, 15}
{0, 3, 16}
{0, 3, 17}
{0, 3, 18}
{0, 3, 19}
{0, 3, 20}
{0, 3, 21}
{0, 3, 22}
{0, 3, 23}
{0, 4, 0}
{0, 4, 1}
{0, 4, 2}
{0, 4, 3}
{0, 4, 4}
{0, 4, 5}
{0, 4, 6}
{0, 4, 7}
{0, 4, 8}
{0, 4, 9}
{0, 4, 10}
{0, 4, 11}
{0, 4, 12}
{0, 4, 13}
{0, 4, 14}
{0, 4, 15}
{0, 4, 16}
{0, 4, 17}
{0, 5, 0}
{0, 5, 1}
{0, 5, 2}
{0, 5, 3}
{0, 5, 4}
{0, 5, 5}
{0, 5, 6}
{0, 5, 7}
{0, 5, 8}
{0, 5, 12}
{0, 5, 13}
{0, 5, 14}
{0, 6, 0}
{0, 6, 1}
{0, 6, 3}
{0, 6, 4}
{0, 6, 5}
{0, 6, 6}
{0, 6, 7}
{1, 0, 12}
{1, 0, 13}
{1, 0, 14}
{1, 0, 19}
{1, 0, 20}
{1, 0, 21}
{1, 0, 22}
{1, 0, 23}
{1, 0, 24}
{1, 0, 25}
{1, 0, 26}
{1, 0, 27}
{1, 0, 28}
{1, 0, 29}
{1, 0, 30}
{1, 1, 12}
{1, 1, 13}
{1, 1, 14}
{1, 1, 15}
{1, 1, 16}
{1, 1, 17}
{1, 1, 18}
{1, 1, 19}
{1, 1, 20}
{1, 1, 21}
{1, 1, 22}
{1, 1, 23}
{1, 1, 24}
{1, 1, 25}
{1, 1, 26}
{1, 1, 27}
{1, 1, 28}
{1, 1, 29}
{1, 1, 30}
{1, 1, 31}
{1, 2, 12}
{1, 2, 13}
{1, 2, 14}
{1, 2, 15}
{1, 2, 16}
{1, 2, 17}
{1, 2, 18}
{1, 2, 19}
{1, 2, 20}
{1, 2, 21}
{1, 2, 22}
{1, 2, 23}
{1, 2, 24}
{1, 2, 25}
{1, 2, 26}
{1, 2, 27}
{1, 2, 28}
{1, 2, 29}
{1, 2, 30}
{1, 2, 31}
{1, 2, 32}
{1, 2, 33}
{1, 3, 7}
{1, 3, 8}
{1, 3, 9}
{1, 3, 10}
{1, 3, 11}
{1, 3, 12}
{1, 3, 13}
{1, 3, 14}
{1, 3, 15}
{1, 3, 16}
{1, 3, 17}
{1, 3, 18}
{1, 3, 19}
{1, 3, 20}
{1, 3, 21}
{1, 3, 22}
{1, 3, 23}
{1, 3, 24}
{1, 3, 25}
{1, 3, 26}
{1, 3, 27}
{1, 3, 28}
{1, 3, 29}
{1, 3, 30}
{1, 3, 31}
{1, 3, 32}
{1, 3, 33}
{1, 4, 4}
{1, 4, 5}
{1, 4, 6}
{1, 4, 7}
{1, 4, 8}
{1, 4, 9}
{1, 4, 10}
{1, 4, 11}
{1, 4, 12}
{1, 4, 13}
{1, 4, 14}
{1, 4, 15}
{1, 4, 16}
{1, 4, 17}
